Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  6.91      0.21     0.21  2167349     0.00     0.00  Dodge::TexturedAlphaShader::sendData(Dodge::IModel const*, cml::matrix<float, cml::fixed<4, 4>, cml::col_basis, cml::col_major> const&)
  6.25      0.40     0.19  3026545     0.00     0.00  Dodge::SceneGraph::insert(Dodge::IModel const*)
  5.92      0.58     0.18                             Dodge::Renderer::renderLoop()
  5.59      0.75     0.17  6040643     0.00     0.00  Dodge::Polygon::getMinimum() const
  4.28      0.88     0.13     7898     0.00     0.00  std::_Rb_tree<std::pair<std::pair<std::pair<float, Dodge::Renderer::mode_t>, unsigned int>, unsigned int>, std::pair<std::pair<std::pair<float, Dodge::Renderer::mode_t>, unsigned int>, unsigned int>, std::_Identity<std::pair<std::pair<std::pair<float, Dodge::Renderer::mode_t>, unsigned int>, unsigned int> >, std::less<std::pair<std::pair<std::pair<float, Dodge::Renderer::mode_t>, unsigned int>, unsigned int> >, std::allocator<std::pair<std::pair<std::pair<float, Dodge::Renderer::mode_t>, unsigned int>, unsigned int> > >::_M_erase(std::_Rb_tree_node<std::pair<std::pair<std::pair<float, Dodge::Renderer::mode_t>, unsigned int>, unsigned int> >*)
  3.95      1.00     0.12       20     0.01     0.01  Dodge::Renderer::loadTexture(unsigned char const*, int, int, unsigned int*)
  3.62      1.11     0.11  4331246     0.00     0.00  Dodge::Model<Dodge::vvvtt_t>::getNumVertices() const
  3.62      1.22     0.11  2165930     0.00     0.00  Dodge::ShaderProgram::model_getMatrix(Dodge::IModel const&) const
  3.62      1.33     0.11     7883     0.00     0.00  GameLogic::update()
  2.96      1.42     0.09   296898     0.00     0.00  Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::getNumEntries_r() const
  2.63      1.50     0.08  3028532     0.00     0.00  Dodge::EntityAnimations::update()
  2.63      1.58     0.08    26527     0.00     0.00  Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::remove_r(boost::shared_ptr<Dodge::Entity>, Dodge::Range const&)
  2.63      1.66     0.08     7904     0.00     0.00  GameLogic::draw() const
  2.30      1.73     0.07  3055522     0.00     0.00  Dodge::EntityAnimations::draw() const
  2.30      1.80     0.07  3026583     0.00     0.00  Dodge::Model<Dodge::vvvtt_t>::copyTo(void*) const
  2.30      1.87     0.07  1509404     0.00     0.00  Dodge::Math::(anonymous namespace)::polyPolyOverlap(Dodge::Shape const&, Dodge::Vec2f const&, Dodge::Shape const&, Dodge::Vec2f const&)
  1.97      1.93     0.06   133318     0.00     0.00  Dodge::Polygon::deepCopy(Dodge::Polygon const&)
  1.64      1.98     0.05  3021107     0.00     0.00  Dodge::Model<Dodge::vvvtt_t>::vertexDataSize() const
  1.64      2.03     0.05   358838     0.00     0.00  Dodge::Polygon::~Polygon()
